convene_product_id,product,vendor
00a49d19-00cd-4462-9114-1f6790a2192f,goat.com+REI resale mens heather sweatshirt uprisal label p6 ,goat.com
00a49d19-00cd-4462-9114-1f6790a2192f,patagonia: masculine heather p6 label uprisal sweatshirt mens ,patagonia - source source
00a49d19-00cd-4462-9114-1f6790a2192f,patagonia Inc Online UK (M) heather p6 label uprisal sweatshirt mens ,patagonia - online uk
00a49d19-00cd-4462-9114-1f6790a2192f,REI internal stock (brand - pgnia) man heather mens sweatshirt p6 uprisal label ,REI
00c3b9b9-2736-4e7c-a210-b54fe2e3fed7,REI internal stock (brand - pgnia) man khaki jacket mens down silent ,REI
00c3b9b9-2736-4e7c-a210-b54fe2e3fed7,patagonia Inc Online UK (M) khaki silent down jacket mens ,patagonia - online uk
00c3b9b9-2736-4e7c-a210-b54fe2e3fed7,patagonia: masculine khaki silent down jacket mens ,patagonia - source source
00c3b9b9-2736-4e7c-a210-b54fe2e3fed7,goat.com+REI resale mens khaki down jacket silent ,goat.com
00f8eb7d-50bc-4db1-81c1-8e9545650f89,patagonia: masculine black trail pacer joggers mens ,patagonia - source source
00f8eb7d-50bc-4db1-81c1-8e9545650f89,REI internal stock (brand - pgnia) man black mens trail pacer joggers ,REI
00f8eb7d-50bc-4db1-81c1-8e9545650f89,patagonia Inc Online UK (M) black trail pacer joggers mens ,patagonia - online uk
00f8eb7d-50bc-4db1-81c1-8e9545650f89,goat.com+REI resale mens black trail joggers pacer ,goat.com
017a0a64-efc6-4b16-86e1-67020567c2b3,REI internal stock (brand - pgnia) man black trails 8 nine mens shorts inseam ,REI
017a0a64-efc6-4b16-86e1-67020567c2b3,patagonia: masculine black nine trails shorts mens 8 inseam ,patagonia - source source
017a0a64-efc6-4b16-86e1-67020567c2b3,patagonia Inc Online UK (M) black nine trails shorts mens 8 inseam ,patagonia - online uk
017a0a64-efc6-4b16-86e1-67020567c2b3,goat.com+REI resale mens black 8 trails nine inseam shorts ,goat.com
01b13d9c-218d-43d3-9949-ba1ee715c124,goat.com+REI resale womens rosehip shirt capilene longsleeve cool trail ,goat.com
01b13d9c-218d-43d3-9949-ba1ee715c124,patagonia: feminine rosehip capilene cool trail longsleeve shirt womens ,patagonia - source source
01b13d9c-218d-43d3-9949-ba1ee715c124,patagonia Inc Online UK (F) rosehip capilene cool trail longsleeve shirt womens ,patagonia - online uk
01b13d9c-218d-43d3-9949-ba1ee715c124,REI internal stock (brand - pgnia) unisex - female rosehip trail capilene longsleeve cool womens shirt ,REI
02b0eeb9-7008-4f5a-aa8f-912bba262370,REI internal stock (brand - pgnia) trout 10l hole large cube black ,REI
02b0eeb9-7008-4f5a-aa8f-912bba262370,goat.com+REI resale trout black large cube 10l hole ,goat.com
02b0eeb9-7008-4f5a-aa8f-912bba262370,patagonia Inc Online UK trout black hole cube 10l large ,patagonia - online uk
02b0eeb9-7008-4f5a-aa8f-912bba262370,patagonia: trout black hole cube 10l large ,patagonia - source source
02c6672c-fd56-4dc4-b0a1-656371fb2f41,REI internal stock (brand - pgnia) unisex - female greyboardie daily womens graphic capilene longsleeve shirt cool ,REI
02c6672c-fd56-4dc4-b0a1-656371fb2f41,goat.com+REI resale womens greyboardie... shirt cool capilene longsleeve daily graphic ,goat.com
02c6672c-fd56-4dc4-b0a1-656371fb2f41,patagonia: feminine greyboardie capilene cool daily graphic longsleeve shirt womens ,patagonia - source source
02c6672c-fd56-4dc4-b0a1-656371fb2f41,patagonia Inc Online UK (F) greyboardie capilene cool daily graphic longsleeve shirt womens ,patagonia - online uk
02f7eee8-59ad-47d1-99b8-e816cd6e14c0,patagonia: red black hole tote 25l ,patagonia - source source
02f7eee8-59ad-47d1-99b8-e816cd6e14c0,goat.com+REI resale red tote hole black 25l ,goat.com
02f7eee8-59ad-47d1-99b8-e816cd6e14c0,patagonia Inc Online UK red black hole tote 25l ,patagonia - online uk
02f7eee8-59ad-47d1-99b8-e816cd6e14c0,REI internal stock (brand - pgnia) red hole tote black 25l ,REI
0303fc0a-e0d0-4d77-b997-1ed8b4d36cb7,patagonia Inc Online UK (F) t pack out jogger pants womens ,patagonia - online uk
0303fc0a-e0d0-4d77-b997-1ed8b4d36cb7,patagonia: feminine t pack out jogger pants womens ,patagonia - source source
0303fc0a-e0d0-4d77-b997-1ed8b4d36cb7,goat.com+REI resale womens t... jogger out pants pack ,goat.com
0303fc0a-e0d0-4d77-b997-1ed8b4d36cb7,REI internal stock (brand - pgnia) unisex - female t pants womens pack out jogger ,REI
030d7a2e-05eb-4731-85e1-369f0a820a55,patagonia Inc Online UK (M) tan better sweater fleece jacket mens ,patagonia - online uk
030d7a2e-05eb-4731-85e1-369f0a820a55,REI internal stock (brand - pgnia) man tan mens fleece sweater jacket better ,REI
030d7a2e-05eb-4731-85e1-369f0a820a55,patagonia: masculine tan better sweater fleece jacket mens ,patagonia - source source
030d7a2e-05eb-4731-85e1-369f0a820a55,goat.com+REI resale mens tan better sweater fleece jacket ,goat.com
03124f9d-673c-4fce-8c61-c3eadb45a588,goat.com+REI resale mens brown nano puff vest insulated ,goat.com
03124f9d-673c-4fce-8c61-c3eadb45a588,patagonia: masculine brown nano puff insulated vest mens ,patagonia - source source
03124f9d-673c-4fce-8c61-c3eadb45a588,REI internal stock (brand - pgnia) man brown mens vest nano insulated puff ,REI
03124f9d-673c-4fce-8c61-c3eadb45a588,patagonia Inc Online UK (M) brown nano puff insulated vest mens ,patagonia - online uk
031f65d3-5cf2-4c2a-9c3a-8364ff9aa80a,patagonia: feminine xdyecoch capilene cool daily graphic tshirt womens ,patagonia - source source
031f65d3-5cf2-4c2a-9c3a-8364ff9aa80a,patagonia Inc Online UK (F) xdyecoch capilene cool daily graphic tshirt womens ,patagonia - online uk
